objectid,cat1,cat2,cat3,cat3,cat4,cat5
215311,Racing,NaN,NaN,NaN,NaN,NaN
9674,strategy,NaN,NaN,NaN,NaN,NaN
20437,City Building, Dice, Economic,NaN,NaN,NaN
192836,Civilization,NaN,NaN,NaN,NaN,NaN
221965,Animals, card, Fantasy,NaN,NaN,NaN
205359,card, Collectible, Dice, Fighting, Adaptation, Sci_Fi
169255,card, Collectible, Fantasy, Fighting, Medieval, Negotiation
21790,Renaissance, Transportation,NaN,NaN,NaN,NaN
160010,Adventure, Fantasy, Fighting, Miniatures, Adaptation,NaN
141572,card, Print & Play, Word Game,NaN,NaN,NaN
276025,Economic, Exploration,NaN,NaN,NaN,NaN
22827,Civilization, Fighting, Miniatures, Sci_Fi, Space Exploration, Territory Building
6472,Bluffing, Fantasy, Negotiation, Adaptation, Political, War
18,Maze, Miniatures, Racing, Sci_Fi,NaN,NaN
97842,card, Economic, Humor,NaN,NaN,NaN
155703,Animals, card, Educational, Environmental, Fighting, Prehistoric
39351,Economic, industry_manuf,NaN,NaN,NaN,NaN
140603,Bluffing, Exploration, War, Pirates, Renaissance,NaN
15363,Exploration, Fighting, Sci_Fi, War,NaN,NaN
257499,Adventure, Fighting, Horror, Adaptation,NaN,NaN
39938,American West, City Building, Economic,NaN,NaN,NaN
27746,Ancient, Negotiation,NaN,NaN,NaN,NaN
260428,Ancient,NaN,NaN,NaN,NaN,NaN
265736,strategy, City Building,NaN,NaN,NaN,NaN
31730,Economic, Post-War, Trains, Transportation,NaN,NaN
2346,strategy,NaN,NaN,NaN,NaN,NaN
133473,card,NaN,NaN,NaN,NaN,NaN
180974,Fantasy, Puzzle,NaN,NaN,NaN,NaN
232043,City Building, Fantasy, Medieval, Territory Building,NaN,NaN
181530,Adventure, Exploration, Fantasy,NaN,NaN,NaN
119432,Trains,NaN,NaN,NaN,NaN,NaN
209778,Exploration, Fantasy, Maze, Real-time,NaN,NaN
144189,War, Political, War, War,NaN,NaN
144797,Fantasy, Political,NaN,NaN,NaN,NaN
17405,Economic, Trains,NaN,NaN,NaN,NaN
236191,card, City Building,NaN,NaN,NaN,NaN
151022,card, Sci_Fi, Sports,NaN,NaN,NaN
11,card, Farming, Negotiation,NaN,NaN,NaN
159508,War, Sci_Fi,NaN,NaN,NaN,NaN
12942,card,NaN,NaN,NaN,NaN,NaN
42776,Fighting, Miniatures, Sci_Fi, Adaptation,NaN,NaN
245934,Ancient,NaN,NaN,NaN,NaN,NaN
9625,Age of Reason, Civilization, Fighting, Political, Territory Building,NaN
113924,Horror, Miniatures, Zombies,NaN,NaN,NaN
1513,Ancient, Negotiation, Political, War,NaN,NaN
156009,card, War, Pirates,NaN,NaN,NaN
183251,Puzzle, Racing,NaN,NaN,NaN,NaN
116998,card, Fantasy,NaN,NaN,NaN,NaN
91312,City Building, Fantasy, Adaptation,NaN,NaN,NaN
143519,Dice, Fighting, Sci_Fi, Space Exploration,NaN,NaN
174785,Ancient, Civilization, Economic, Mythology, War,NaN
171,strategy,NaN,NaN,NaN,NaN,NaN
271896,Adventure, Exploration, Adaptation, Sci_Fi, Space Exploration,NaN
153938,Animals, Dice, Racing,NaN,NaN,NaN
130960,Economic, Negotiation, Political, Territory Building, War, War
6249,Arabian, City Building, Medieval,NaN,NaN,NaN
42215,Adventure, Deduction, Exploration,NaN,NaN,NaN
172308,Fantasy,NaN,NaN,NaN,NaN,NaN
121408,card, Territory Building, Trains,NaN,NaN,NaN
58281,card, Fantasy, Fighting,NaN,NaN,NaN
150997,Adventure, American West, Exploration, Fantasy, Horror, Miniatures
121288,card, Humor, Party Game,NaN,NaN,NaN
163166,Bluffing, card, Deduction, Horror, Party Game,NaN
233312,Adventure, Animals, Book,NaN,NaN,NaN
4390,Prehistoric,NaN,NaN,NaN,NaN,NaN
30869,Ancient, Exploration, Travel,NaN,NaN,NaN
50750,City Building, Economic, Fantasy,NaN,NaN,NaN
128780,card, War, Economic, Political, Post-War, War
142379,Adventure, Exploration, Mafia,NaN,NaN,NaN
3307,Economic, War, Renaissance, Territory Building,NaN,NaN
266524,Adventure, Animals, Environmental, Travel,NaN,NaN
240196,Adventure, Exploration, Horror, Miniatures,NaN,NaN
134726,card, Fantasy, Horror, Humor, secret_agent,NaN
131357,Bluffing, card, Deduction, Party Game, Political,NaN
135219,Adventure, Fantasy, Fighting, Miniatures, Adaptation, War
212445,Fantasy, Fighting, Miniatures, Sports,NaN,NaN
181521,Adventure, card, Exploration, Fantasy, Fighting,NaN
84419,Bluffing, Sci_Fi, Space Exploration, War,NaN,NaN
24508,City Building, Territory Building,NaN,NaN,NaN,NaN
65532,Adventure, Fantasy, Fighting, Miniatures,NaN,NaN
503,strategy, Animals, Arabian,NaN,NaN,NaN
28023,War, Pirates, Racing, Transportation,NaN,NaN
