objectid,name,yearpublished,minplayers,maxplayers,minplaytime,maxplaytime
165417,Puerto Diablo,2015,2,5,120,120
155440,Pleasant Dreams,2015,1,2,10,10
5258,Star Trek  The Next Generation \u2013 Interactive Video Board Game \u2013 A Klingon Challenge,1993,3,6,60,60
2864,Automania  The Game of the Motor Giants,1991,4,6,60,60
162974,Chroma Cubes,2014,2,5,45,45
37743,Consensus,2008,3,8,30,30
109643,World Conquerors,2012,1,4,60,60
188753,ElemenZ,2017,2,4,12,30
94916,Zed Deck,2011,1,1,5,5
57458,Darwinci,2009,3,5,60,60
41788,Striking the Anvil  Operation Anvil Dragoon,2009,2,2,60,60
32086,1939-45 Harc Eur\u00f3p\u00e1\u00e9rt,1986,2,5,60,360
1680,Elements,1997,3,5,30,30
195476,Master Thief,2017,3,6,15,30
36412,Goblin Slayer,2008,2,2,60,60
19127,Chinese Poker,0,2,4,5,5
129625,Irezumi,2012,2,4,20,20
3993,Necromancer,1982,2,2,60,60
231960,Sunny Day,2017,2,4,20,30
24020,Blitzwar,2006,2,3,600,600
254195,Trivial Pursuit  World of Harry Potter \u2013 Ultimate Edition,2018,2,8,60,60
176400,The King's Men,2015,2,5,15,45
2400,The Brotherhood,1972,2,5,60,60
6414,Genius Rules,1987,2,4,10,10
164202,Divorce! The Game,2015,2,2,20,20
2428,Battle-Cry,1961,2,4,60,60
184266,Wongamania  Banana Economy,2016,2,5,30,60
148522,Dice Crawl,2014,1,4,30,30
14077,Nin-Gonost,2004,1,2,45,45
5335,The Horse Soldiers  Forrest at Bay,1988,2,2,120,120
174943,Ninja Arena,2016,2,4,20,40
219661,Crop Rotation,2016,2,4,20,40
158163,Invazions,2014,2,4,45,45
234615,Rory's Story Cubes  Rampage,2017,1,12,15,20
22407,1066  End of the Dark Ages,2006,2,4,240,240
139728,MCS,2013,2,4,30,30
192201,Wiener Walzer,2016,2,5,45,45
163688,Six Sons of the Sultan,2014,1,2,20,20
69973,Ticked Off,2011,3,10,45,45
32688,Scene It? Movie Second Edition,2007,2,12,45,45
27781,Jetsetters,2007,2,5,20,20
94363,Vizia,2011,2,4,30,30
73240,Aachen  First to Fall,2010,1,2,60,60
164808,El Switcher,2013,2,4,45,45
96672,TieBreaker,2011,2,99,1,1
286533,6 nimmt! Brettspiel,2019,2,6,25,25
213578,Y\u014dkai Quest,2017,1,6,30,60
1570,Sirocco,1985,2,2,90,90
244584,Kartel,2018,2,6,15,15
19540,Simpei,2005,2,2,20,20
1622,Strata 5,1984,2,4,60,60
9668,MooT,1998,2,12,60,60
85948,Scho K.O.,2010,2,2,10,10
4677,Lee Invades the North,1988,2,2,120,360
127994,Heroes of Metro City,2013,2,4,60,60
119193,Crazy Creatures of Dr. Gloom,2012,2,4,20,20
175742,Alien Wars,2015,2,6,10,10
154244,The South Shall Rise Again,2014,1,4,30,30
11127,Kursk  Operation Zitadelle,1971,2,2,180,210
253568,Kings' Struggle,2018,3,6,30,60
258818,Connect 4  Shots,2018,2,2,0,0
3500,Schmuggler an Bord,1992,3,6,30,30
172480,Roar! Catch the Monster,2015,2,4,10,30
126168,Oh no... INVASION!!!,2012,3,5,30,30
21412,Take Your Pick,2005,3,8,20,20
242742,Keys to the Castle,2017,2,4,10,20
4048,War of the States  Gettysburg,2002,2,2,180,180
224039,Farsight,2017,2,4,50,90
127258,Blades of Legend,2012,6,11,45,45
1528,Chief Herman's Holiday Fun Pack,2000,2,50,30,30
91440,Expedition Dino,2011,2,5,15,15
806,West Riding,2000,3,6,180,180
156224,Foretold  Rise of a God,2014,2,4,60,60
175313,AARRR!,2014,2,2,15,15
143588,Codename  Oracle,2014,2,2,30,30
182915,ILIOS,2015,2,4,15,50
6896,MechWar 2  Red Star \/ White Star,1979,1,2,360,360
25448,Khan Tsin,2006,2,3,30,30
150691,Rok 1863,2013,2,4,30,30
84778,Tricky Safari,2010,2,4,25,25
42493,Giro D'Italia Card Game,2009,2,6,30,30
187769,Rolling World,2015,1,99,0,0
177002,Buy The Rights,2016,3,10,30,60
138799,LOKA  A Game of Elemental Strategy,2013,2,4,30,30
138091,Guile,2013,2,2,20,20
7526,Welfen und Staufer,1990,2,2,180,180
11855,Tamburlaine the Great,1979,0,0,0,0
12795,Big League Hockey Manager,2005,2,6,120,120
246728,Gunfights & Gamblin',2018,2,4,45,75
122867,Four Taverns,2012,2,4,35,35
12280,Geistesblitz,1991,2,6,10,10
3916,How to Host a Murder  Roman Ruins,1996,8,8,180,180
195489,Slush Fund 2,2016,2,2,10,20
76481,Persian Incursion,2010,2,2,180,180
175739,Pictopia  Disney Edition,2014,2,6,20,60
89611,Digger,2010,3,5,15,15
227318,Deadly Premonition  The Board Game,2017,2,4,30,45
272889,Pictionary Air,2019,3,12,15,60
688,Manchu,1988,2,2,240,240
213260,Zoar,2018,2,4,30,45
21141,Eastern Front 2,2005,2,2,60,60
2532,New York,1995,2,5,90,90
244269,Wizardz Bluff,2018,2,4,30,45
15731,The Game of Life  Card Game,2002,2,4,30,30
4316,Belter  Mining the Asteroids,1979,2,5,120,120
85076,The Battle of Tours,2012,2,2,120,120
146765,Granny Wars   A Game of Tit for Tat,2013,2,8,20,20
180133,Rubbish Auction,2015,3,5,15,30
10265,Molotov's War,1995,2,2,120,120
9345,Drops & Co.,2004,2,4,30,30
88011,AstroNuts,2012,2,4,30,30
104798,Nachts im Stall,2011,1,4,10,10
657,M\u00fcnchhausen,1996,3,8,30,30
162727,Victory through Industry,2014,2,6,120,120
5199,The Lords of Underearth,1981,1,3,60,60
282525,Catlantis,2019,2,4,15,15
6625,Seapower & the State,1982,2,2,120,120
257955,3x8,2018,2,4,30,0
112840,Mine Shift,2011,2,4,20,20
270443,Misty,2019,2,5,15,0
148430,Downtown,2013,2,4,40,90
124760,Famous First Downs  The World's Smallest Football Game,2012,2,2,30,30
10893,Allegiance  War of Factions,2004,2,6,60,60
14151,Quickword  The Ultimate Word Game,1991,2,12,60,60
222584,Clustered,2017,1,4,20,60
125436,Word Winder,2012,2,6,20,20
205667,Les Mis\u00e9rables  Eve of Rebellion,2016,2,4,30,45
6944,The Battle of Moscow  The German Drive on Moscow,1970,2,2,120,120
244460,Invisible,2018,2,10,10,20
87926,Yago Pool,2008,2,2,20,20
108711,The Mystery of the Templars,2013,2,4,150,150
7795,Bundeswehr,1977,2,2,120,120
