objectid,name,category1,category2,category3,category4,category5,category6
5757,Bakerstreet,Bluffing, card, Memory, murder_mystery,error,error
14024,Piracy,War, War,error,error,error,error
73574,Rainbow,card,error,error,error,error,error
88088,Cranium  Disney Family Edition,Adaptation, Party Game, Puzzle, Trivia, Word Game,error
10885,Royalists & Roundheads II,War, War, War,error,error,error
8930,Buffy the Vampire Slayer CCG,card, Collectible,error,error,error,error
37379,Netzwerk,Transportation,error,error,error,error,error
25461,Pai Gow,card,error,error,error,error,error
1318,Blackrock Castle,Childrens Game, Exploration, Maze, Medieval, Memory,error
11456,Zilch,Dice,error,error,error,error,error
93578,Ugh!,card, Prehistoric,error,error,error,error
188204,De 7 geitjes,Animals, Childrens Game, Adaptation,error,error,error
6350,Zomax,strategy, War,error,error,error,error
17699,Polarity,Dexterity,error,error,error,error,error
15559,Quak,Childrens Game, Dice,error,error,error,error
1954,Kalahen,Adventure, Exploration, Fantasy, Fighting,error,error
11136,End of Empire  The French and Indian War and the American Revolution,Age of Reason, American Revolutionary War, War,error,error,error
257411,This Game Goes to Eleven,card,error,error,error,error,error
1162,Burp,Dexterity, Bluffing, Civilization, Fantasy, Prehistoric,error
6355,Cirondo,strategy,error,error,error,error,error
28258,Ubongo Mini,Puzzle, Real-time,error,error,error,error
119856,Button Up!,strategy,error,error,error,error,error
7493,Caves & Claws,Adventure, Childrens Game, Exploration, Fantasy, Humor, Maze
60872,Rio Grande,Territory Building,error,error,error,error,error
174404,Robot X,card, Party Game,error,error,error,error
35371,El Juego de la Liga,Sports,error,error,error,error,error
130682,Air King,Aviation, Bluffing, card,error,error,error
8644,Masquerade,Deduction, Humor, Party Game,error,error,error
153807,Room Party  The Game!,card, Party Game,error,error,error,error
121813,StelCon  Infinity,Sci_Fi, Space Exploration, War,error,error,error
157452,Cultists of Cthulhu,Horror, Adaptation,error,error,error,error
32324,Szczury Pustyni,War, War,error,error,error,error
27678,Quest for the Auburn Pelt  A PageQuest Game,Adventure, Fantasy, Print & Play,error,error,error
198269,En tu casa o donde sea,card, Humor, Adult, Party Game,error,error
5348,Khe Sanh,War, War, War,error,error,error
153484,Hedbanz Act Up!,Deduction, Party Game,error,error,error,error
