objectid,name,boardgamemechanic1,boardgamemechanic2,boardgamemechanic3,boardgamemechanic4,boardgamemechanic5,boardgamemechanic6
245638,Coimbra,Card Drafting, Dice Rolling, End Game Bonuses, Set Collection, Worker Placement with Dice Workers,NaN
220877,Rajas of the Ganges,Dice Rolling, Tile Placement, Worker Placement, Worker Placement with Dice Workers,NaN,NaN
7854,YINSH,Grid Movement, Pattern Building,NaN,NaN,NaN,NaN
192291,Sushi Go Party!,Card Drafting, Hand Management, Set Collection, Simultaneous Action Selection,NaN,NaN
285774,Marvel Champions  The Card Game,Cooperative Game, Solo / Solitaire Game, Variable Player Powers,NaN,NaN,NaN
421,1830  The Game of Railroads and Robber Barons,Auction/Bidding, Market, Network and Route Building, Ownership, Stock Holding, Tile Placement
156129,Deception  Murder in Hong Kong,Storytelling, Team-Based Game, Traitor Game,NaN,NaN,NaN
176494,Isle of Skye  From Chieftain to King,Auction/Bidding, Catch the Leader, Set Collection, Tile Placement,NaN,NaN
155873,Power Grid Deluxe  Europe\/North America,Auction: Turn Order Until Pass, Income, Market, Network and Route Building,NaN,NaN
140620,Lewis & Clark,Card Drafting, Deck, Hand Management, Point to Point Movement, Worker Placement,NaN
154203,Imperial Settlers,Card Drafting, Contracts, Drafting, Hand Management, Take That, Variable Player Powers
188834,Secret Hitler,Hidden Roles, Player Elimination, Team-Based Game, Traitor Game, Voting,NaN
19857,Glory to Rome,Follow, Hand Management, Set Collection, Variable Phase Order,NaN,NaN
24181,Imperial,Advantage Token, Area Majority / Influence, Area Movement, Investment, Ownership, Rondel
198994,Hero Realms,Card Drafting, Deck, Hand Management, Take That,NaN,NaN
97207,Dungeon Petz,Auction/Bidding, Hand Management, Simultaneous Action Selection, Worker Placement,NaN,NaN
127060,Bora Bora,Dice Rolling, Set Collection, Worker Placement, Worker Placement with Dice Workers,NaN,NaN
218417,Aeon's End  War Eternal,Card Drafting, Cooperative Game, Deck, Hand Management, Variable Phase Order, Variable Player Powers
27708,1960  The Making of the President,Action/Event, Area Majority / Influence, Campaign / Battle Card Driven, Hand Management,NaN,NaN
22545,Age of Empires III  The Age of Discovery,Area Majority / Influence, Set Collection, Turn Order: Claim Action, Worker Placement, Worker Placement,NaN
108745,Seasons,Card Drafting, Dice Rolling, Hand Management, Take That,NaN,NaN
38453,Space Alert,Action Queue, Area Movement, Cooperative Game, Elapsed Real Time Ending, Hand Management, Simultaneous Action Selection
203420,Exit  The Game \u2013 The Abandoned Cabin,Cooperative Game,NaN,NaN,NaN,NaN,NaN
