sort_index,object_id,game_name,year_published,min_players,max_players,min_playtime,max_playtime,average,complexity,siteviews,category_1,category_2,category_3,category_4,category_5,category_6,mech_1,mech_2,mech_3,mech_4,mech_5,mech_6,users_rated
27,266192,Wingspan,2019,1,5,40,70,8.10343,2.3693,1243663,Animals, card, Economic, Educational,na,na,Card Drafting, Dice Rolling, Drafting, Hand Management, Set Collection, Solo / Solitaire Game,21261
28,175914,Food Chain Magnate,2015,2,5,120,240,8.17751,4.1971,1451862,Economic, industry_manuf,na,na,na,na,Card Drafting, Deck, Income, Market, Modular Board, Network and Route Building,11385
29,31260,Agricola,2007,1,5,30,150,7.97387,3.6372,4470614,Animals, Economic, Farming,na,na,na,Action Drafting, Automatic Resource Growth, Card Drafting, Enclosure, Hand Management, Increase Value of Unchosen Resources,59458
30,205059,Mansions of Madness  Second Edition,2016,1,5,120,180,8.11713,2.6719,2295813,Adventure, Exploration, Fantasy, Fighting, Horror, Miniatures,Area Movement, Cooperative Game, Dice Rolling, Hand Management, Modular Board, Role Playing,19735
31,170216,Blood Rage,2015,2,4,60,90,8.0064,2.8692,2441681,Fantasy, Fighting, Miniatures, Mythology,na,na,Action Points, Area Majority / Influence, Area Movement, Card Drafting, Hand Management, Memory,28668
32,55690,Kingdom Death  Monster,2015,1,4,60,180,8.73827,4.2169,3950787,Adventure, Fantasy, Horror, Adult, Miniatures, Mythology,Cooperative Game, Dice Rolling, Grid Movement, Role Playing, Solo / Solitaire Game, Storytelling,6616
33,221107,Pandemic Legacy  Season 2,2017,2,4,60,60,8.19898,3.268,826716,Environmental, Exploration, Medical,na,na,na,Cooperative Game, Hand Management, Legacy Game, Pick-up and Deliver, Point to Point Movement, Set Collection,8989
34,2651,Power Grid (Recharged Version),2004,2,6,120,120,7.87953,3.2749,2960733,Economic, industry_manuf,na,na,na,na,Auction: Turn Order Until Pass, Catch the Leader, Market, Network and Route Building, Turn Order: Stat-Based,na,52340
35,209010,Mechs vs. Minions,2016,2,4,60,90,8.0927,2.413,1556209,Fantasy, Fighting, Miniatures, Adaptation,na,na,Action Queue, Card Drafting, Cooperative Game, Dice Rolling, Modular Board, Role Playing,12262
36,25613,Through the Ages  A Story of Civilization,2006,2,4,120,120,7.97122,4.1702,2468136,Civilization, Economic,na,na,na,na,Action Points, Auction/Bidding, Auction: Dutch, Card Drafting, Hand Management,na,17285
37,164153,Star Wars  Imperial Assault,2014,2,5,60,120,8.04603,3.2979,3013264,Adventure, Fighting, Miniatures, Adaptation, Sci_Fi, War,Dice Rolling, Grid Movement, Modular Board, Role Playing, Team-Based Game, Variable Player Powers,18129
38,126163,Tzolk'in  The Mayan Calendar,2012,2,4,90,90,7.91679,3.6552,1455985,Ancient, Civilization, Economic, Farming, Mythology,na,End Game Bonuses, Turn Order: Claim Action, Worker Placement,na,na,na,26626
39,237182,Root,2018,2,4,60,90,8.06087,3.5806,1885895,Animals, Fantasy, War,na,na,na,Action Queue, Action Retrieval, Area Majority / Influence, Area Movement, Dice Rolling, Hand Management,13853
40,72125,Eclipse,2011,2,6,60,180,7.92324,3.6915,3195583,Civilization, Fighting, Sci_Fi, Space Exploration, War,na,Area Majority / Influence, Dice Rolling, Grid Movement, Map Addition, Modular Board, Player Elimination,24866
41,230802,Azul,2017,2,4,30,45,7.87079,1.7875,1549911,strategy, Renaissance,na,na,na,na,Card Drafting, Pattern Building, Set Collection, Tile Placement,na,na,38055
42,35677,Le Havre,2008,1,5,30,150,7.8798,3.7497,1876534,City Building, Economic, industry_manuf, War,na,na,Automatic Resource Growth, End Game Bonuses, Increase Value of Unchosen Resources, Loans, Ownership, Worker Placement,24266
43,167355,Nemesis,2018,1,5,90,180,8.49814,3.3077,1133660,Adventure, Horror, Miniatures, Sci_Fi,na,na,Campaign / Battle Card Driven, Cooperative Game, Dice Rolling, Hidden Roles, Modular Board, Player Elimination,6262
44,216132,Clans of Caledonia,2017,1,4,30,120,8.03026,3.4317,996166,Economic, Farming,na,na,na,na,Commodity Speculation, Contracts, Market, Modular Board, Network and Route Building, Variable Player Powers,11195
45,171623,The Voyages of Marco Polo,2015,2,4,40,100,7.92532,3.1955,1113767,Dice, Economic, Medieval, Travel,na,na,Contracts, Dice Rolling, Income, Point to Point Movement, Set Collection, Variable Player Powers,17199
46,121921,Robinson Crusoe  Adventures on the Cursed Island,2012,1,4,60,120,7.88173,3.762,3164566,Adventure, Exploration, Fighting, Adaptation,na,na,Action Queue, Cooperative Game, Dice Rolling, Hexagon Grid, Solo / Solitaire Game, Tile Placement,29386
47,124742,Android  Netrunner,2012,2,2,45,45,7.88273,3.38,4212815,Bluffing, card, Collectible, Sci_Fi,na,na,Action Points, Hand Management, Secret Unit Deployment, Take That, Variable Player Powers,na,25254
48,185343,Anachrony Essential Edition,2017,1,4,30,120,8.09659,3.9711,1039136,Economic, Sci_Fi,na,na,na,na,Solo / Solitaire Game, Variable Player Powers, Worker Placement, Worker Placement,na,na,8810
49,68448,7 Wonders,2010,2,7,30,30,7.77014,2.3367,3411194,Ancient, card, City Building, Civilization,na,na,Card Drafting, Drafting, Hand Management, Set Collection, Simultaneous Action Selection, Variable Player Powers,74520
50,28143,Race for the Galaxy,2007,2,4,30,60,7.7628,2.9756,2857679,card, Civilization, Economic, Sci_Fi, Space Exploration,na,Hand Management, Simultaneous Action Selection, Variable Phase Order, Variable Player Powers,na,na,42615
51,122515,Keyflower,2012,2,6,90,120,7.83658,3.3422,1248251,City Building, Economic, War, Renaissance, Territory Building, Transportation,Auction/Bidding, End Game Bonuses, Memory, Modular Board, Network and Route Building, Ownership,17027
52,62219,Dominant Species,2010,2,6,120,240,7.84917,4.0394,1525412,Animals, Environmental, Prehistoric,na,na,na,Area Majority / Influence, Card Drafting, Grid Movement, Hexagon Grid, Modular Board, Take That,16643
53,159675,Fields of Arle,2014,1,2,60,120,8.10495,3.893,748722,Economic, Farming, industry_manuf,na,na,na,Automatic Resource Growth, Worker Placement,na,na,na,na,6616
54,18602,Caylus Premium Limited Edition,2005,2,5,60,150,7.79875,3.8095,1899122,City Building, Economic, Medieval,na,na,na,Ownership, Turn Order: Claim Action, Turn Order: Pass Order, Variable Setup, Worker Placement,na,25413
55,110327,Lords of Waterdeep,2012,2,5,60,120,7.76062,2.4762,1891588,City Building, Fantasy,na,na,na,na,Card Drafting, Contracts, Increase Value of Unchosen Resources, Ownership, Set Collection, Take That,41294
56,157354,Five Tribes  The Djinns of Naqala,2014,2,4,40,80,7.77088,2.8544,1275623,Animals, Arabian, Fantasy, Mythology,na,na,Auction/Bidding, End Game Bonuses, Hidden Victory Points, Mancala, Modular Board, Set Collection,28094
57,125153,The Gallerist,2015,1,4,60,150,8.01962,4.2812,778715,Economic,na,na,na,na,na,Commodity Speculation, Investment, Set Collection, Worker Placement,na,na,7923
58,201808,Clank!  A Deck-Building Adventure,2016,2,4,30,60,7.80783,2.203,1400659,Adventure, Fantasy,na,na,na,na,Card Drafting, Deck, Drafting, Pick-up and Deliver, Player Elimination, Point to Point Movement,21265
59,12493,Twilight Imperium (Third Edition),2005,3,6,180,240,7.85887,4.2483,2405162,Civilization, Negotiation, Political, Sci_Fi, Space Exploration, War,Action Points, Area-Impulse, Dice Rolling, Follow, Hexagon Grid, Increase Value of Unchosen Resources,17664
60,93,El Grande,1995,2,5,60,120,7.76578,3.0638,1365209,Medieval, Renaissance,na,na,na,na,Area Majority / Influence, Area Movement, Auction/Bidding, Card Drafting, Hand Management, Memory,22117
61,205896,Rising Sun,2018,3,5,90,120,7.93891,3.2761,1999126,Bluffing, Fantasy, Miniatures, Mythology, Negotiation, War,Alliances, Area Majority / Influence, Area Movement, Set Collection, Simultaneous Action Selection, Take That,12840
62,146021,Eldritch Horror,2013,1,8,120,240,7.83617,3.3109,2777570,Adventure, Fantasy, Fighting, Horror, Adaptation, Travel,Action Points, Cooperative Game, Dice Rolling, Point to Point Movement, Role Playing, Solo / Solitaire Game,25811
63,172386,Mombasa,2015,2,4,75,150,7.91504,3.9094,692534,Economic,na,na,na,na,na,Action Queue, Area Majority / Influence, Card Drafting, Deck, Hand Management, Investment,9610
64,40834,Dominion  Intrigue,2009,2,4,30,30,7.73324,2.432,993427,card, Medieval,na,na,na,na,Card Drafting, Deck, Hand Management,na,na,na,28271
65,37111,Battlestar Galactica  The Board Game,2008,3,6,120,180,7.74,3.2358,2220403,Bluffing, Deduction, Adaptation, Political, Sci_Fi, Space Exploration,Area Movement, Dice Rolling, Hand Management, Hidden Roles, Once-Per-Game Abilities, Role Playing,31058
66,178900,Codenames XXL,2015,2,8,15,15,7.66889,1.3078,1914562,card, Deduction, Party Game, secret_agent, Word Game,na,Communication Limits, Memory, Push Your Luck, Team-Based Game,na,na,57212
67,161533,Lisboa,2017,1,4,60,120,8.17991,4.5358,672563,City Building, Economic, Political,na,na,na,Area Majority / Influence, Card Drafting, Hand Management, Tile Placement,na,na,5127
68,163412,Patchwork,2014,2,2,15,30,7.68609,1.668,1059904,strategy, Puzzle,na,na,na,na,Card Drafting, Grid Coverage, Square Grid, Tile Placement, Time Track,na,37986
69,73439,Troyes,2010,2,4,90,90,7.76486,3.4537,1222544,Dice, Economic, Medieval,na,na,na,Area Majority / Influence, Dice Rolling, Turn Order: Progressive, Worker Placement, Worker Placement with Dice Workers, Worker Placement,16334
70,229853,Teotihuacan  City of Gods,2018,1,4,90,120,7.96554,3.7113,783259,Ancient,na,na,na,na,na,Area Movement, Point to Point Movement, Rondel, Set Collection, Tile Placement, Variable Player Powers,8209
71,521,\u52a0\u62ff\u5927\u68cb,1876,2,4,30,30,7.83304,1.2641,835012,Dexterity,na,na,na,na,na,Flicking, Team-Based Game,na,na,na,na,10385
72,199792,Everdell,2018,1,4,40,80,8.00886,2.8153,926878,Animals, card, City Building, Fantasy,na,na,Drafting, End Game Bonuses, Worker Placement,na,na,na,7997
73,192135,Too Many Bones,2017,1,4,60,120,8.48024,3.8254,1155725,Adventure, Dice, Fantasy,na,na,na,Cooperative Game, Deck, Dice Rolling, Die Icon Resolution, Hand Management, Resource to Move,3873
74,144733,Russian Railroads,2013,2,4,90,120,7.78561,3.4177,768033,industry_manuf, Trains,na,na,na,na,End Game Bonuses, Worker Placement,na,na,na,na,13090
75,132531,Roll for the Galaxy,2014,2,5,45,45,7.7039,2.7725,1325075,Civilization, Dice, Economic, Sci_Fi, Space Exploration,na,Deck, Dice Rolling, Simultaneous Action Selection, Variable Phase Order, Variable Player Powers,na,23115
76,191189,Aeon's End,2016,1,4,60,60,8.03978,2.7874,830901,card, Fantasy, Fighting, Sci_Fi,na,na,Card Drafting, Cooperative Game, Deck, Hand Management, Solo / Solitaire Game, Variable Phase Order,7055
77,2511,Sherlock Holmes Consulting Detective  The Thames Murders & Other Cases,1981,1,8,60,120,7.7741,2.7013,1395609,Deduction, murder_mystery, Adaptation, Post-War, secret_agent,na,Cooperative Game, Solo / Solitaire Game, Storytelling,na,na,na,14768
78,42,Tigris & Euphrates,1997,2,4,90,90,7.70272,3.5162,1752244,Ancient, Civilization, Territory Building,na,na,na,Area Majority / Influence, Hand Management, Highest-Lowest Scoring, Set Collection, Tile Placement,na,23925
79,102680,Trajan,2011,2,4,60,120,7.77469,3.6431,971283,Ancient, Political,na,na,na,na,Area Movement, Card Drafting, Hand Management, Mancala, Rondel, Set Collection,13483
80,236457,Architects of the West Kingdom,2018,1,5,60,80,7.86296,2.7591,698259,City Building, Medieval,na,na,na,na,Drafting, Variable Player Powers, Worker Placement,na,na,na,10239
81,200680,Agricola (Revised Edition),2016,1,4,30,120,8.06574,3.4818,411005,Animals, Economic, Farming,na,na,na,Card Drafting, Enclosure, Hand Management, Worker Placement, Solo / Solitaire Game, Team-Based Game,6317
82,36218,Dominion,2008,2,4,30,30,7.63451,2.3606,3877340,card, Medieval,na,na,na,na,Deck, Delayed Purchase, Hand Management, Take That, Variable Setup,na,71730
83,30549,Pandemic,2008,2,4,45,45,7.62214,2.419,3425864,Medical,na,na,na,na,na,Action Points, Cooperative Game, Hand Management, Point to Point Movement, Set Collection, Solo / Solitaire Game,89581
84,247763,Underwater Cities,2018,1,4,80,150,8.09731,3.5591,499560,card, City Building, Civilization, industry_manuf, War, Sci_Fi,End Game Bonuses, Income, Network and Route Building, Turn Order: Stat-Based, Worker Placement,na,5117
85,170042,Raiders of the North Sea,2015,2,4,60,80,7.80512,2.5222,790671,Medieval, War,na,na,na,na,Dice Rolling, Hand Management, Set Collection, Worker Placement, Worker Placement,na,11458
86,198928,Pandemic  Iberia,2016,2,5,45,45,7.95053,2.5929,411168,Medical,na,na,na,na,na,Action Points, Cooperative Game, Hand Management, Point to Point Movement, Set Collection, Solo / Solitaire Game,6984
87,103885,Star Wars  X-Wing Miniatures Game,2012,2,2,30,45,7.72744,2.4812,3033656,Aviation, Bluffing, Collectible, Miniatures, Adaptation, Sci_Fi,Action Queue, Critical Hits and Failures, Dice Rolling, Movement Template, Player Elimination, Simultaneous Action Selection,21679
88,127023,Kemet,2012,2,5,90,120,7.73405,2.995,1223298,Ancient, Fighting, Miniatures, Mythology,na,na,Action Points, Area Majority / Influence, Area Movement, Card Drafting, Hand Management,na,14487
89,146508,T.I.M.E Stories,2015,2,4,90,90,7.67362,2.6065,1910753,Adventure, Adult, Puzzle, Sci_Fi,na,na,Cooperative Game, Dice Rolling, Storytelling, Variable Player Powers,na,na,21005
90,196340,Yokohama,2016,2,4,90,90,7.88892,3.3117,575676,Economic,na,na,na,na,na,Contracts, End Game Bonuses, Grid Movement, Modular Board, Network and Route Building, Set Collection,7062
91,150376,Dead of Winter  A Crossroads Game,2014,2,5,60,120,7.634,3.0059,2280866,Bluffing, Deduction, Horror, Zombies,na,na,Action Points, Area Movement, Cooperative Game, Dice Rolling, Hand Management, Narrative Choice / Paragraph,35465
92,182874,Grand Austria Hotel,2015,2,4,60,120,7.78966,3.2274,579863,Economic,na,na,na,na,na,Action Drafting, Contracts, Dice Rolling, End Game Bonuses, Hand Management, Once-Per-Game Abilities,9828
93,34635,Stone Age,2008,2,4,60,90,7.58793,2.4858,1887647,Dice, Prehistoric,na,na,na,na,Dice Rolling, Set Collection, Turn Order: Progressive, Worker Placement,na,na,40596
94,175155,Forbidden Stars,2015,2,4,120,180,7.96296,3.8091,1013333,Bluffing, Fighting, Miniatures, Sci_Fi, War,na,Area Majority / Influence, Dice Rolling, Hand Management, Modular Board, Order Counters, Variable Player Powers,6609
95,172287,Champions of Midgard,2015,2,4,60,90,7.78284,2.5984,750909,Adventure, Dice, Fantasy, Fighting, Medieval, Mythology,Card Drafting, Dice Rolling, Set Collection, Variable Player Powers, Worker Placement with Dice Workers,na,10537
96,104162,Descent  Journeys in the Dark (Second Edition),2012,2,5,120,120,7.71381,3.2016,3252081,Adventure, Exploration, Fantasy, Fighting, Miniatures,na,Action Points, Dice Rolling, Grid Movement, Hand Management, Line of Sight, Modular Board,20701
97,161970,Alchemists,2014,2,4,120,120,7.69133,3.8768,984414,Deduction, Fantasy,na,na,na,na,Card Drafting, Constrained Bidding, End Game Bonuses, Events, Hand Management, Turn Order: Progressive,16075
98,203993,Lorenzo il Magnifico,2016,2,4,60,120,7.8858,3.2977,489968,Renaissance,na,na,na,na,na,Card Drafting, Dice Rolling, Variable Player Powers, Worker Placement,na,na,6961
99,147020,Star Realms,2014,2,2,20,20,7.60028,1.9503,1263092,card, Fighting, Sci_Fi,na,na,na,Card Drafting, Deck, Hand Management, Take That,na,na,31323
100,146652,Legendary Encounters  An Alien Deck Building Game,2014,1,5,30,60,7.78246,2.7051,935141,card, Fighting, Horror, Adaptation, Sci_Fi,na,Card Drafting, Cooperative Game, Deck, Player Elimination, Solo / Solitaire Game, Team-Based Game,10018
101,9609,War of the Ring,2004,2,4,120,120,7.77255,3.8417,1975338,Adventure, Fantasy, Miniatures, Adaptation, Territory Building, War,Action Points, Area Majority / Influence, Area Movement, Campaign / Battle Card Driven, Dice Rolling, Hand Management,9605
102,244521,The Quacks of Quedlinburg,2018,2,4,45,45,7.75405,1.9819,575529,Medieval,na,na,na,na,na,Catch the Leader, Deck, Dice Rolling, Push Your Luck,na,na,10754
103,148949,Istanbul,2014,2,5,40,60,7.59753,2.595,926722,Economic,na,na,na,na,na,Dice Rolling, Grid Movement, Modular Board, Pick-up and Deliver, Race,na,22106
104,155821,Inis,2016,2,4,60,90,7.79062,2.8782,1006148,card, Miniatures, Mythology,na,na,na,Action Drafting, Area Majority / Influence, Area Movement, Card Drafting, Hand Management, Modular Board,10089
105,103343,A Game of Thrones  The Board Game (Second Edition),2011,3,6,120,240,7.63935,3.7086,2101561,Bluffing, Fantasy, Negotiation, Adaptation, Political, War,Area Majority / Influence, Area Movement, Auction/Bidding, Hand Management, Order Counters, Player Elimination,25936
106,155426,Castles of Mad King Ludwig,2014,1,4,90,90,7.59941,2.6562,1028285,Post-War, Puzzle,na,na,na,na,Auction/Bidding, Card Drafting, End Game Bonuses, Pattern Building, Set Collection, Tile Placement,20168
107,128882,The Resistance  Avalon,2012,5,10,30,30,7.60662,1.7775,1261991,Bluffing, card, Deduction, Fantasy, Medieval, Negotiation,Hidden Roles, Memory, Roles with Asymmetric Information, Simultaneous Action Selection, Team-Based Game, Traitor Game,24359
108,14996,Ticket to Ride  Europe,2005,2,5,30,60,7.55324,1.9486,1244911,Trains,na,na,na,na,na,Card Drafting, Hand Management, Network and Route Building, Push Your Luck, Set Collection,na,51162
109,233371,Clank! In! Space!,2017,2,4,45,90,7.88039,2.5,365176,Sci_Fi,na,na,na,na,na,Card Drafting, Deck, Modular Board, Player Elimination, Point to Point Movement, Push Your Luck,6548
110,43111,Chaos in the Old World,2009,3,4,60,120,7.67164,3.1823,1373646,Fantasy, Fighting, Horror, Mythology, War,na,Action Points, Area Majority / Influence, Area Movement, Dice Rolling, Hand Management, Role Playing,13617
111,225694,Decrypto,2018,3,8,15,45,7.80921,1.813,273854,Deduction, Party Game, Word Game,na,na,na,Communication Limits, Targeted Clues, Team-Based Game,na,na,na,7649
112,17133,Railways of the World,2005,2,6,120,120,7.68907,3.024,1157726,Trains, Transportation, Adaptation,na,na,na,Action Points, Auction/Bidding, Card Drafting, Network and Route Building, Pick-up and Deliver, Tile Placement,10671
113,239188,Chronicles of Crime,2018,1,4,60,90,7.91598,2.1022,427699,Adventure, Deduction, murder_mystery,na,na,na,Cooperative Game, Scenario / Mission / Campaign Game, Storytelling, Variable Player Powers,na,na,8287
114,70149,Ora et Labora,2011,1,4,60,180,7.70562,3.9043,890506,City Building, Economic, industry_manuf, Medieval, Religious, Territory Building,Increase Value of Unchosen Resources, Modular Board, Network and Route Building, Worker Placement, Worker Placement,na,9132
115,14105,Commands and Colors  Ancients,2006,2,2,60,60,7.77981,2.6961,1374407,Ancient, War,na,na,na,na,Campaign / Battle Card Driven, Command Cards, Dice Rolling, Hand Management, Hexagon Grid, Modular Board,7655
116,221194,Dinosaur Island,2017,1,4,90,120,7.79778,2.9841,864366,Economic, Sci_Fi,na,na,na,na,Action Points, Dice Rolling, Set Collection, Tile Placement, Worker Placement,na,8420
117,233398,Endeavor  Age of Sail,2018,2,5,60,90,8.08502,2.8015,399777,Exploration, War, Renaissance,na,na,na,Area Majority / Influence, Card Drafting, Set Collection,na,na,na,4521
118,123260,Suburbia,2012,1,4,90,90,7.54926,2.7721,1140840,City Building, Economic,na,na,na,na,Card Drafting, Hexagon Grid, Set Collection, Tile Placement,na,na,20018
119,77423,The Lord of the Rings  The Card Game,2011,1,2,30,60,7.63572,3.1583,3403940,Adventure, card, Fantasy, Adaptation,na,na,Cooperative Game, Hand Management, Solo / Solitaire Game, Variable Player Powers,na,na,19123
120,194655,Santorini,2016,2,4,20,20,7.57212,1.7361,1179977,strategy, Ancient, Mythology,na,na,na,Square Grid, Three Dimensional Movement, Variable Player Powers,na,na,na,21311
121,54043,Jaipur,2009,2,2,30,30,7.51641,1.5049,999169,Animals, card,na,na,na,na,Card Drafting, Hand Management, Score-and-Reset Game, Set Collection,na,na,31102
122,43015,Hansa Teutonica,2009,2,5,45,90,7.64391,3.125,817464,Medieval,na,na,na,na,na,Action Points, Area Majority / Influence, End Game Bonuses, Network and Route Building, Ownership, Tech Trees / Tech Tracks,10716
123,126042,Nations,2013,1,5,40,200,7.66073,3.5345,1068456,card, Civilization, Economic,na,na,na,Automatic Resource Growth, Card Drafting, Events, Turn Order: Pass Order, Variable Player Powers, Worker Placement,10457
124,4098,Age of Steam  Deluxe Edition,2002,1,6,120,120,7.72871,3.9198,1098120,Economic, Trains, Transportation,na,na,na,Auction/Bidding, Catch the Leader, Dice Rolling, Loans, Network and Route Building, Player Elimination,7881
125,175640,Vinhos Deluxe Edition,2016,1,4,60,135,8.22361,4.0722,363705,Economic, industry_manuf,na,na,na,na,Area Majority / Influence, Variable Phase Order, Worker Placement,na,na,na,3237
126,10630,Memoir '44,2004,2,8,30,60,7.55646,2.2752,2060243,Miniatures, War, War,na,na,na,Area Majority / Influence, Campaign / Battle Card Driven, Command Cards, Dice Rolling, Grid Movement, Hand Management,23743
127,91,Paths of Glory,1999,2,2,480,480,8.04126,3.827,1095128,War, War,na,na,na,na,Campaign / Battle Card Driven, Dice Rolling, Point to Point Movement,na,na,na,4216
128,233867,\u6b61\u8fce\u4f86\u5230,2018,1,40,25,25,7.65254,1.8333,562860,City Building,na,na,na,na,na,Paper-and-Pencil, Pattern Building,na,na,na,na,10627
129,224037,Codenames  Duet,2017,2,4,15,30,7.64928,1.3353,307148,card, Deduction, secret_agent, Word Game,na,na,Communication Limits, Cooperative Game, Push Your Luck, Team-Based Game,na,na,10021
130,39463,Cosmic Encounter  42nd Anniversary Edition,2008,3,5,60,120,7.54488,2.5715,1801848,Bluffing, Negotiation, Sci_Fi, Space Exploration,na,na,Alliances, Auction/Bidding, Hand Management, Negotiation, Race, Simultaneous Action Selection,25296
131,171131,Captain Sonar,2016,2,8,45,60,7.60333,2.126,868175,Deduction, Fighting, War, Real-time,na,na,Grid Movement, Hidden Movement, Line Drawing, Real-Time, Role Playing, Secret Unit Deployment,13730
132,155068,Arcadia Quest,2014,2,4,60,60,7.77327,2.5316,1083129,Adventure, Fantasy, Fighting, Miniatures,na,na,Dice Rolling, Grid Movement, Modular Board, Take That, Variable Player Powers,na,8341
133,21050,Combat Commander  Europe,2006,2,2,60,180,7.92614,3.2318,1266555,War, War,na,na,na,na,Campaign / Battle Card Driven, Hexagon Grid, Simulation, Variable Phase Order,na,na,5045
134,195421,Near and Far,2017,2,4,90,120,7.86953,2.8279,673737,Adventure, Exploration,na,na,na,na,Card Drafting, Dice Rolling, Narrative Choice / Paragraph, Network and Route Building, Set Collection, Storytelling,5727
135,163068,Trickerion  Legends of Illusion,2015,2,4,60,180,7.87665,4.17,667883,Post-War,na,na,na,na,na,Action Points, Action Queue, Catch the Leader, Simultaneous Action Selection, Tile Placement, Turn Order: Stat-Based,5573
136,104006,Village,2011,2,4,60,90,7.53635,3.0739,1011809,Farming, Medieval,na,na,na,na,Action Drafting, Contracts, Set Collection, Worker Placement, Worker Placement,na,18465
137,118048,Targi,2012,2,2,60,60,7.62305,2.3503,564234,card,na,na,na,na,na,Modular Board, Set Collection, Turn Order: Progressive, Worker Placement,na,na,10554
138,269385,The Lord of the Rings  Journeys in Middle-earth,2019,1,5,60,120,8.14029,2.4765,838690,Adventure, Fantasy, Fighting, Adaptation,na,na,Cooperative Game, Deck, Modular Board, Role Playing, Solo / Solitaire Game, Variable Player Powers,4468
139,188920,This War of Mine  The Board Game,2017,1,6,45,120,7.88729,3.1653,947505,Adventure, Exploration, Adult, War, Adaptation,na,Action Points, Cooperative Game, Dice Rolling, Grid Movement, Push Your Luck, Role Playing,6375
140,31627,Ticket to Ride  Nordic Countries,2007,2,3,30,60,7.64139,1.9793,456077,Trains,na,na,na,na,na,Card Drafting, Hand Management, Network and Route Building, Set Collection,na,na,10465
141,199561,Sagrada,2017,1,4,30,45,7.54653,1.9114,808842,Dice, Puzzle,na,na,na,na,Card Drafting, Dice Rolling, Pattern Building, Set Collection,na,na,19016
142,82222,Xia  Legends of a Drift System,2014,3,5,60,180,7.85838,3.1444,999192,Adventure, Exploration, Fighting, Sci_Fi, Space Exploration, Transportation,Action Points, Dice Rolling, Grid Movement, Map Addition, Modular Board, Pick-up and Deliver,6227
143,25021,Sekigahara  The Unification of Japan,2011,2,2,180,180,8.062,2.7616,665557,War, War, War,na,na,na,Hand Management, Point to Point Movement, Secret Unit Deployment,na,na,na,3739
144,244522,That's Pretty Clever,2018,1,4,30,30,7.65216,1.9171,384899,Dice,na,na,na,na,na,Dice Rolling, Paper-and-Pencil,na,na,na,na,9256
145,148228,\u062c\u0648\u0627\u0647\u0631\u064a,2014,2,4,30,30,7.46486,1.8062,1730330,card, Economic, Renaissance,na,na,na,Card Drafting, Contracts, Set Collection,na,na,na,50062
146,9216,Goa  A New Expedition,2004,2,4,90,90,7.59568,3.3784,873752,Economic, Farming, War, Renaissance,na,na,Auction/Bidding, Auction: Once Around, Hand Management, Push Your Luck,na,na,10684
147,215,Tichu,1991,4,4,60,60,7.58429,2.3401,802488,card,na,na,na,na,na,Betting and Bluffing, Hand Management, Ladder Climbing, Team-Based Game,na,na,12519
148,223321,Detective  A Modern Crime Board Game,2018,1,5,120,180,8.0414,2.7172,490214,Deduction, murder_mystery,na,na,na,na,Cooperative Game, Solo / Solitaire Game, Storytelling,na,na,na,4363
149,129437,Legendary  A Marvel Deck Building Game,2012,1,5,30,60,7.59345,2.4493,2706319,card, Adaptation,na,na,na,na,Deck, Events, Semi-Cooperative Game, Solo / Solitaire Game, Variable Setup,na,18107
150,146886,La Granja,2014,1,4,90,120,7.69331,3.5812,561255,Economic, Farming,na,na,na,na,Area Majority / Influence, Automatic Resource Growth, Dice Rolling, Hand Management, Income, Simultaneous Action Selection,7244
151,176189,Zombicide  Black Plague,2015,1,6,60,180,7.71281,2.5312,1320824,Adventure, Fantasy, Fighting, Horror, Medieval, Miniatures,Cooperative Game, Dice Rolling, Modular Board, Variable Player Powers,na,na,10798
152,463,Magic  The Gathering \u2013 White Planeswalkers Ajani Goldmane,1993,2,2,20,20,7.49478,3.1904,933198,card, Collectible, Fantasy, Fighting,na,na,Hand Management, Take That,na,na,na,na,29526
153,188,Go,-2200,2,2,30,180,7.63465,3.9956,674029,strategy,na,na,na,na,na,Enclosure,na,na,na,na,na,13752
154,555,The Princes of Florence,2000,2,5,75,100,7.54206,3.2505,935872,City Building, Renaissance,na,na,na,na,Auction/Bidding, Grid Coverage, Tile Placement,na,na,na,14269
155,27833,Steam,2009,3,5,90,90,7.61627,3.4582,1080372,Economic, Trains, Transportation,na,na,na,Auction/Bidding, Loans, Network and Route Building, Pick-up and Deliver, Tile Placement,na,9147
156,9209,Ticket to Ride \u0633\u0643\u0629 \u0633\u0641\u0631,2004,2,5,30,60,7.43684,1.8589,2167237,Trains,na,na,na,na,na,Card Drafting, Hand Management, Network and Route Building, Set Collection,na,na,64145
157,128621,Viticulture,2013,2,6,90,90,7.62456,2.9369,735541,Economic, Farming,na,na,na,na,Hand Management, Turn Order: Progressive, Worker Placement,na,na,na,9076
158,182631,Star Realms  Colony Wars,2015,2,2,20,20,7.88402,1.9221,160124,card, Fighting, Sci_Fi,na,na,na,Card Drafting, Deck, Hand Management, Take That,na,na,4912
159,12,Ra,1999,2,5,45,60,7.46879,2.3496,1105698,Ancient, Mythology,na,na,na,na,Auction/Bidding, Auction: Once Around, Constrained Bidding, Push Your Luck, Set Collection,na,18125
160,54998,Cyclades,2009,2,5,60,90,7.52257,2.83,1202102,Ancient, City Building, Civilization, Fighting, Miniatures, Mythology,Area Majority / Influence, Area Movement, Auction/Bidding, Card Drafting, Dice Rolling, Set Collection,16355
