sort_index,object_id,game_name,year_published,min_players,max_players,min_playtime,max_playtime,average,complexity,siteviews,category_1,category_2,category_3,category_4,category_5,category_6,mech_1,mech_2,mech_3,mech_4,mech_5,mech_6,users_rated
4682,39939,The Battle of Fontenoy  11 May,2012,1,2,30,360,8.628,4.1739,64826,Age of Reason, War,na,na,na,na,Dice Rolling, Hexagon Grid,na,na,na,na,100
4683,184919,Greedy Greedy Goblins,2016,2,4,25,35,6.33397,2,41685,Bluffing, Economic, Fantasy, Real-time, Territory Building,na,Commodity Speculation, Push Your Luck, Tile Placement,na,na,na,429
4684,220598,Ladder 29,2017,2,5,30,45,6.86546,1.6667,14615,card,na,na,na,na,na,Hand Management, Trick-taking,na,na,na,na,210
4685,3003,Crash Tackle Rugby Board Game,2001,2,2,180,180,7.69318,2.4516,60654,Sports,na,na,na,na,na,Action Points, Dice Rolling,na,na,na,na,151
4686,34747,Jena 20,2008,2,2,50,50,6.70927,1.8824,38713,War, War,na,na,na,na,Hexagon Grid,na,na,na,na,na,259
4687,203405,Brutal Kingdom,2016,3,4,30,30,6.48242,2,37325,Animals, card, Deduction, Political,na,na,Animals, Card Game, Deduction, Political,na,na,320
4688,62922,None But Heroes,2011,2,2,60,60,8.18926,3.7143,96548,American War, War, War,na,na,na,Dice Rolling, Hexagon Grid,na,na,na,na,121
4689,4014,Dawn Patrol,1982,2,40,60,60,6.76317,2.3714,60832,Aviation, War, War,na,na,na,Dice Rolling, Hexagon Grid, Role Playing, Simultaneous Action Selection, Variable Player Powers,na,300
4690,125315,FlowerFall,2012,2,7,10,10,6.0277,1.0465,47023,Dexterity, card, Party Game,na,na,na,Area Majority / Influence, Modular Board,na,na,na,na,787
4691,8192,Railroad Dice,2003,2,4,90,90,6.18114,2.7073,59854,Dice, Trains, Transportation,na,na,na,Dice Rolling, Network and Route Building, Pick-up and Deliver, Tile Placement,na,na,503
4692,91671,Da ist der Wurm drin,2011,2,4,15,20,6.3475,1,33373,Animals, Childrens Game, Dice, Racing,na,na,Betting and Bluffing, Dice Rolling,na,na,na,na,402
4693,2379,Showtime,1990,4,40,10,10,5.92652,1.17,156929,card, Party Game, Word Game,na,na,na,Acting, Role Playing, Roll / Spin and Move, Team-Based Game,na,na,1360
4694,274428,Gaslands  Refuelled,2019,2,8,45,90,8.6699,2.3333,14953,Book, Miniatures, Racing, Sci_Fi, War,na,Dice Rolling, Push Your Luck, Variable Player Powers,na,na,na,98
4695,220778,Sticky Chameleons,2017,2,5,20,20,6.4068,1,17409,Dexterity, Animals,na,na,na,na,Action / Dexterity, Animals,na,na,na,na,363
4696,4106,Moderne Zeiten,2002,3,5,45,45,6.53675,2.2917,30558,Economic,na,na,na,na,na,Auction/Bidding, Stock Holding,na,na,na,na,293
4697,281194,Flick of Faith,2019,2,4,15,40,7.74135,1.1667,18561,Dexterity, Mythology,na,na,na,na,Area Majority / Influence, Flicking, Variable Player Powers, Voting,na,na,156
4698,192656,\u041a\u043e\u0448\u043c\u0430\u0440\u0438\u0443\u043c 2-\u0435 \u0438\u0437\u0434\u0430\u043d\u0438\u0435,2014,2,5,10,30,6.51098,1.4286,23658,card, Fantasy,na,na,na,na,Hand Management, Set Collection,na,na,na,na,346
4699,136587,Ninja Dice,2013,2,5,30,30,6.00809,1.3421,73567,Dice, Party Game,na,na,na,na,Dice Rolling, Push Your Luck,na,na,na,na,902
4700,5306,Harry's Grand Slam Baseball Game,1962,2,4,20,20,6.31583,1.1231,48444,card, Sports,na,na,na,na,Hand Management, Simulation,na,na,na,na,402
4701,153905,Warband  Against the Darkness,2015,2,5,60,60,6.72186,2.6667,55281,Fighting, Territory Building,na,na,na,na,Action Points, Area Majority / Influence, Set Collection,na,na,na,242
4702,191998,Lost Legacy  Fourth Chronicle \u2013 The Werewolf & Undying Heart,2016,2,6,10,10,7.12978,1,13698,Bluffing, card, Deduction,na,na,na,Hand Management, Memory, Player Elimination,na,na,na,182
